Car Brand,Model,Column1,Unit Type,Capacity,Oil Filter,Price
Toyota,Avanza,Gas,CompactSuv,4,C-110,275
Toyota,Camry,Gas,Large,5,O118,335
Toyota,Fortuner ,Gas,VanSuvPickUp,8,C-111,266
Toyota,Hilux,Diesel,VanSuvPickUp,8,C-111,266
Toyota,Hi-ace,Diesel,VanSuvPickUp,7,C-110,246
Toyota,Innova,Diesel,VanSuvPickUp,7,C-111,266
Toyota,Prado,Gas,VanSuvPickUp,8,C-111,266
Toyota,Land-Cruiser,Diesel,VanSuvPickUp,8,,
Toyota,Rav4,Gas,CompactSuv,6,C-111,266
Toyota,Vios,Gas,Medium,4,C-110,246
Toyota,Corolla,Gas,Medium,4,C-110,246
Toyota,Revo Gas,GAs,CompactSuv,4,C-111,266
Toyota,Revo Diesel,Diesel,CompactSuv,6,C-111,266
Toyota,Altis,Gas,Medium,5,C-110,246
Toyota,Wigo,Gas,small,3,C-932,246
Suzuki,Swift,Gas,medium,4,C-110,246
Suzuki,Ertiga,Gas,CompactSuv,4,C-110,246
Suzuki,Celerio,Gas,small,3,C-110,246
Suzuki,Mini Van,Gas,CompactSuv,3,C-110,246
Suzuki,Alto,Gas,small,3,C-110,246
Suzuki,Wagon,Gas,CompactSuv,3,C-110,246
Suzuki,Vitara,Gas,CompactSuv,5,C-110,246
Suzuki,APV,Gas,CompactSuv,4,C-110,246
Suzuki,SX4,Gas,Large,4,C-110,246
Nissan,Navara,Diesel,VanSuvPickUp,6,C-206,320
Nissan,Sentra,Gas,Medium,4,C-110,246
Nissan,X-Trail,Gas,VanSuvPickUp,5,C-224,257
Nissan,Almera,Gas,Large,4,C-224,257
Nissan,Urban,Diesel,VanSuvPickUp,7,C-206,320
Nissan,Patrol,Diesel,VanSuvPickUp,8,C-206,320
Nissan,Serena,Gas,compact suv,4,,
Nissan,Cefiro,Gas,Large,4,C-315,257
Nissan,Livina,Gas,CompactSuv,4,C-224,257
Nissan,Vanette,Gas,VanSuvPickUp,5,C-224,257
Nissan,Outlander,Gas,VanSuvPickUp,5,C-415,257
Mitsubishi,Lancer,Gas,Large,4,C-415,257
Mitsubishi,Pajero,Diesel,VanSuvPickUp,8,C-313,755
Mitsubishi,Mirage,Gas,small,3,C-415,257
Mitsubishi,Mirage-G4,Gas,small,3,C-415,257
Mitsubishi,Montero,Diesel,VanSuvPickUp,7,C-306,598
Mitsubishi,Adventure Gas,Gas,CompactSuv,4,C-415,257
Mitsubishi,Adventure,Diesel,CompactSuv,6,C-306,598
Mitsubishi,Strada,Diesel,VanSuvPickUp,8,C-313,755
Mitsubishi,Delica,Diesel,VanSuvPickUp,6,C-306,598
Mitsubishi,L300,Diesel,VanSuvPickUp,6,C-306,598
Mitsubishi,Fuzion,Gas,VanSuvPickUp,5,C-415,257
