Transaction Date	Transaction Type	Present Location	Editor	Barcode	Part Number	Editor	Sub Id	Generic	Supplier	Receiving Receipt #	Qty	On-Hand	Cost Price	Markup (%)	Retail Price
01/26/2026 14:58	General Inventory			89008141	89008141	Ac Delco Oil Filter PF1118				0	100	100	0.00		192.00
04/29/2026 10:44	General Inventory				10524	AC DELCO OIL FILTER PF30001D					100	100	0.00		335.00
12/19/2025 14:47	General Inventory			4809011163027	4809011163027	Ace Thumb Tacks No.555				4809011163027	100	100	10.45		14.00
07/09/2026 15:28	General Inventory				1435928	AIR FILTER 0Y040					100	100	250.00		350.00
06/26/2026 17:20	General Inventory				14230	AIR FILTER 13780-53M00 ALTO					100	100	0.00		420.00
03/06/2026 08:13	General Inventory			1435897	1435897	AIR FILTER 13780-73R00					100	100	320.00		420.00
05/12/2026 15:37	General Inventory				14254	AIR FILTER 1500A 399 MIRAGE JGC					100	100	220.00		320.00
04/24/2026 14:18	General Inventory				12192	AIR FILTER 1500A098 MONTERO					100	100	0.00		450.00
06/29/2026 07:42	General Inventory			1435900	1435900	AIR FILTER 16546-02N00					100	100	400.00		520.00
04/24/2026 14:22	General Inventory				14373	AIR FILTER 16546-V0100					100	100	0.00		350.00
12/19/2025 15:19	General Inventory			5516	5516	Air Filter 17801-15070 Corolla				5516	100	100	280.00		380.00
12/19/2025 15:19	General Inventory			12691	12691	Air Filter 17801-21050 Vios 09				12691	100	100	240.00		340.00
03/27/2026 15:37	General Inventory				12765	AIR FILTER 17801-30050					100	100	420.00		520.00
07/13/2026 13:36	General Inventory			143421	143421	Air Filter 17801-BZ110				143421	100	100	340.00		440.00
06/26/2026 16:57	General Inventory				143107	AIR FILTER 28113-25000 TUCSON					100	100	0.00		400.00
04/10/2026 15:11	General Inventory				1435911	AIR FILTER 31160 HI-ACE NEW 2019					100	100	480.00		580.00
04/28/2026 15:49	General Inventory				13590	AIR FILTER 9332112F COLORADO					100	100	0.00		700.00
